,gene_name,uniprot_id,larval_lethal
0,FBgn0262029,B5RJR1,other lethal
1,FBgn0262029,M9MRE4,other lethal
2,FBgn0044324,Q8T9D1,other lethal
3,FBgn0010397,Q03427,other lethal
4,FBgn0025790,O97469,other lethal
5,FBgn0020510,A0A0B4K774,other lethal
6,FBgn0037917,Q9VGL8,other lethal
7,FBgn0037236,Q7YZ95,other lethal
8,FBgn0263979,Q24572,other lethal
9,FBgn0028471,Q9V3H9,other lethal
10,FBgn0032499,Q9VK07,other lethal
11,FBgn0011817,A0A4D6K823,other lethal
12,FBgn0035542,Q9VZC7,other lethal
13,FBgn0035542,Q8IRB4,other lethal
14,FBgn0004449,O61307,other lethal
15,FBgn0004449,M9PGF7,other lethal
16,FBgn0261261,Q9TY11,other lethal
17,FBgn0036641,Q9VV74,other lethal
18,FBgn0003963,Q9VPQ6,other lethal
19,FBgn0014859,P49869,other lethal
20,FBgn0259243,P16905,other lethal
21,FBgn0024555,Q9VFS5,other lethal
22,FBgn0035769,Q9VS55,other lethal
23,FBgn0038925,Q9VD55,other lethal
24,FBgn0032773,M9PDP3,other lethal
25,FBgn0032773,Q9VIX7,other lethal
26,FBgn0267975,Q9VDY8,other lethal
27,FBgn0030486,Q9VYD1,other lethal
28,FBgn0261277,Q9VZ21,other lethal
29,FBgn0035060,Q8MMD2,other lethal
30,FBgn0001990,Q9VJN5,other lethal
31,FBgn0027948,Q9VEZ3,other lethal
32,FBgn0027948,A0A0B4K700,other lethal
33,FBgn0286070,Q7KNQ9,other lethal
34,FBgn0267348,P15215,other lethal
35,FBgn0028734,Q9NFU0,other lethal
36,FBgn0028734,A0A0B4K618,other lethal
37,FBgn0019650,Q9V490,other lethal
38,FBgn0004647,P07207,other lethal
39,FBgn0263198,Q9VJ12,other lethal
40,FBgn0000568,P17672,other lethal
41,FBgn0001992,Q9V399,other lethal
42,FBgn0003339,P09077,other lethal
43,FBgn0003339,A0A4D6K1B2,other lethal
44,FBgn0261530,Q9VT40,other lethal
45,FBgn0013576,Q8IPN7,other lethal
46,FBgn0013576,A0A0B4K620,other lethal
47,FBgn0000370,Q9NIR3,other lethal
48,FBgn0001112,P18173,other lethal
49,FBgn0000179,Q24432,other lethal
50,FBgn0024179,Q9NGX8,other lethal
51,FBgn0024179,M9PE88,other lethal
52,FBgn0283451,Q01295,other lethal
53,FBgn0037613,Q9VHN1,other lethal
54,FBgn0005386,Q9VW15,other lethal
55,FBgn0000490,P07713,other lethal
56,FBgn0004860,Q9NF31,other lethal
57,FBgn0004860,Q9W523,other lethal
58,FBgn0045035,Q5EAK6,other lethal
59,FBgn0002521,Q8ST83,other lethal
60,FBgn0000150,P08879,other lethal
