uniprot_id,protein_length,molecular_weight,hydrophobic_ratio,charged_ratio,aromatic_ratio,polar_ratio,disorder_prone_ratio,gc_content,has_signal_peptide,transmembrane_domains,domain_count,repeat_count,coiled_coil_count,enzyme_count,has_enzyme_activity,protein_existence_evidence,has_experimental_evidence,go_molecular_function,go_biological_process,go_cellular_component,go_total_count,interpro_domains,pfam_domains,smart_domains,supfam_domains,total_domain_databases,subcellular_location_count,is_membrane_protein,is_nuclear_protein,is_cytoplasmic_protein,is_mitochondrial_protein,is_secreted_protein,keyword_count,has_essential_keywords,has_metabolic_keywords,has_structural_keywords,has_regulatory_keywords,gene_name,species,taxonomy_id,larval_lethal,target_encoded
A0A139WLF4,255,28734,0.4627450980392157,0.3137254901960784,0.0509803921568627,0.1529411764705882,0.5098039215686274,0.0705882352941176,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,3,False,False,False,False,TC003127,Tribolium,7070,other lethal,0
D6WH14,166,18812,0.4036144578313253,0.3192771084337349,0.0783132530120482,0.180722891566265,0.4698795180722891,0.0963855421686747,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,3,False,False,False,False,TC002944,Tribolium,7070,other lethal,0
D6WR58,433,50450,0.3510392609699769,0.3579676674364896,0.069284064665127,0.2401847575057736,0.4849884526558891,0.0508083140877598,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,7,False,False,False,False,TC009994,Tribolium,7070,other lethal,0
D6W9Y0,1968,221069,0.431910569105691,0.228150406504065,0.0863821138211382,0.266260162601626,0.4268292682926829,0.0736788617886178,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,5,False,False,False,False,TC001072,Tribolium,7070,other lethal,0
D6WKN0,943,111146,0.2587486744432661,0.4941675503711559,0.0657476139978791,0.2057264050901378,0.4931071049840933,0.04135737009544,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,5,False,False,False,False,TC010428,Tribolium,7070,other lethal,0
D6WGY3,1933,220284,0.4505949301603725,0.2379720641489912,0.0900155199172271,0.2596999482669426,0.4050698396275219,0.0517330574236937,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,3,False,False,False,False,TC003479,Tribolium,7070,other lethal,0
D6WZ30,409,46491,0.3814180929095354,0.3422982885085575,0.0782396088019559,0.1858190709046454,0.4205378973105134,0.0904645476772616,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,3,False,False,False,False,TC005395,Tribolium,7070,other lethal,0
D6WP57,408,47260,0.4191176470588235,0.2965686274509804,0.0931372549019607,0.2377450980392156,0.3995098039215686,0.0465686274509803,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,False,False,True,False,5,False,False,False,False,TC014515,Tribolium,7070,other lethal,0
D6X4X0,780,90313,0.4,0.2782051282051282,0.0974358974358974,0.2705128205128205,0.4435897435897435,0.0512820512820512,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,4,False,False,False,False,TC011021,Tribolium,7070,other lethal,0
D6W6L7,620,67930,0.4177419354838709,0.2435483870967742,0.0596774193548387,0.2645161290322581,0.5032258064516129,0.0741935483870967,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,True,False,False,False,False,2,False,False,False,False,TC001635,Tribolium,7070,other lethal,0
D6WNN4,904,101564,0.4103982300884956,0.2688053097345133,0.0918141592920354,0.2356194690265486,0.4679203539823008,0.0851769911504424,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,True,False,True,False,False,10,False,False,False,False,TC013867,Tribolium,7070,other lethal,0
D6WBI0,379,42915,0.337730870712401,0.2823218997361477,0.0686015831134564,0.3139841688654353,0.4511873350923482,0.0659630606860158,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1,False,False,False,False,TC016154,Tribolium,7070,other lethal,0
D2A4P0,563,63629,0.3623445825932504,0.30550621669627,0.0657193605683836,0.2824156305506217,0.4706927175843694,0.0497335701598579,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,2,False,False,False,False,TC015332,Tribolium,7070,other lethal,0
D2A2P3,1204,133571,0.4717607973421927,0.2167774086378737,0.0722591362126245,0.2400332225913621,0.457641196013289,0.0714285714285714,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,1,False,False,False,False,TC008488,Tribolium,7070,other lethal,0
