uniprot_id,protein_length,molecular_weight,hydrophobic_ratio,charged_ratio,aromatic_ratio,polar_ratio,disorder_prone_ratio,gc_content,has_signal_peptide,transmembrane_domains,domain_count,repeat_count,coiled_coil_count,enzyme_count,has_enzyme_activity,protein_existence_evidence,has_experimental_evidence,go_molecular_function,go_biological_process,go_cellular_component,go_total_count,interpro_domains,pfam_domains,smart_domains,supfam_domains,total_domain_databases,subcellular_location_count,is_membrane_protein,is_nuclear_protein,is_cytoplasmic_protein,is_mitochondrial_protein,is_secreted_protein,keyword_count,has_essential_keywords,has_metabolic_keywords,has_structural_keywords,has_regulatory_keywords,gene_name,species,taxonomy_id,larval_lethal,target_encoded
H2L045,1354,151404,0.3729689807976366,0.2695716395864106,0.0731166912850812,0.2843426883308715,0.534711964549483,0.0731166912850812,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,False,False,False,False,6,False,False,False,False,WBGene00006508,C_elegans,6239,no,0
A0A486WWU7,495,55730,0.4484848484848485,0.2727272727272727,0.0888888888888888,0.206060606060606,0.4303030303030303,0.0727272727272727,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,7,False,False,False,False,WBGene00020275,C_elegans,6239,yes,1
Q94392,824,91335,0.4356796116504854,0.2669902912621359,0.0703883495145631,0.2172330097087378,0.5012135922330098,0.0800970873786407,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,10,False,False,False,False,WBGene00003818,C_elegans,6239,yes,1
O18155,268,31071,0.373134328358209,0.3246268656716418,0.0820895522388059,0.2425373134328358,0.4328358208955223,0.0597014925373134,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,3,True,False,True,False,False,12,False,False,False,False,WBGene00012127,C_elegans,6239,no,0
Q19262,796,90654,0.4221105527638191,0.2939698492462311,0.0703517587939698,0.2386934673366834,0.4798994974874372,0.0452261306532663,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,5,False,False,False,False,WBGene00017284,C_elegans,6239,yes,1
Q4TTA0,291,33392,0.4261168384879725,0.3058419243986254,0.0962199312714776,0.1855670103092783,0.3951890034364261,0.0824742268041237,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,3,False,False,False,False,WBGene00044303,C_elegans,6239,no,0
P39745,444,50663,0.4099099099099099,0.2635135135135135,0.081081081081081,0.2612612612612612,0.4549549549549549,0.0653153153153153,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,14,False,False,False,False,WBGene00003401,C_elegans,6239,yes,1
O01686,676,76657,0.3535502958579881,0.2958579881656805,0.0946745562130177,0.272189349112426,0.4911242603550296,0.0784023668639053,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,5,False,False,False,False,WBGene00016331,C_elegans,6239,no,0
G5EC19,733,83801,0.3710777626193724,0.3219645293315143,0.0886766712141882,0.2319236016371077,0.4706684856753069,0.0750341064120054,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,9,False,False,False,False,WBGene00014215,C_elegans,6239,no,0
O17071,406,45859,0.4113300492610837,0.3226600985221675,0.0541871921182266,0.1871921182266009,0.4901477832512315,0.0788177339901477,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,False,True,True,False,False,7,False,False,False,False,WBGene00017742,C_elegans,6239,yes,1
Q9TZK5,307,36428,0.4169381107491857,0.2964169381107492,0.1400651465798045,0.2280130293159609,0.3615635179153094,0.0586319218241042,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,2,False,False,False,False,WBGene00002030,C_elegans,6239,no,0
Q18277,150,17270,0.46,0.2666666666666666,0.0733333333333333,0.24,0.46,0.0333333333333333,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,True,False,False,False,5,False,False,False,False,WBGene00005425,C_elegans,6239,yes,1
Q86B36,496,56183,0.407258064516129,0.2641129032258064,0.1028225806451613,0.2641129032258064,0.4576612903225806,0.064516129032258,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,1,False,False,True,False,False,10,False,False,False,False,WBGene00001497,C_elegans,6239,yes,1
P04255,122,13501,0.3770491803278688,0.319672131147541,0.0573770491803278,0.2622950819672131,0.4836065573770491,0.040983606557377,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,False,True,False,False,False,10,False,False,False,False,WBGene00001935,C_elegans,6239,yes,1
A0A0K3AWM6,570,63198,0.4894736842105263,0.1666666666666666,0.1087719298245614,0.243859649122807,0.3982456140350877,0.1,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,2,True,False,False,False,False,13,False,False,False,False,WBGene00003397,C_elegans,6239,yes,1
Q86FN3,210,24106,0.4047619047619047,0.3,0.0857142857142857,0.2285714285714285,0.4571428571428571,0.0666666666666666,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,5,False,False,False,False,WBGene00006738,C_elegans,6239,no,0
P34607,910,105569,0.4021978021978022,0.3164835164835164,0.0901098901098901,0.2263736263736263,0.432967032967033,0.0549450549450549,False,0,0,0,0,0,False,0,False,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,8,False,False,False,False,WBGene00001102,C_elegans,6239,yes,1
